Code,Language spoken,Census usually resident population count
01100,West Germanic not further defined,6
01110,Afrikaans,27.387
01111,Dutch,24.006
01112,English,3.819.969
01113,German,36.642
01114,Friesian,342
01115,Yiddish,93
01116,Scots,204
01199,West Germanic not elsewhere classified,1.719
01200,North Germanic not further defined,3
01210,Danish,2.127
01211,Norwegian,969
01212,Swedish,2.637
01213,Icelandic,174
01299,North Germanic not elsewhere classified,18
02100,Romance not further defined,0
02110,French,49.125
02111,Catalan,204
02112,Portuguese,5.622
02113,Spanish,26.979
02114,Italian,8.214
02115,Romanian,1.947
02199,Romance not elsewhere classified,708
03110,Greek,2.952
04100,Baltic not further defined,3
04110,Latvian,276
04111,Lithuanian,162
04199,Baltic not elsewhere classified,0
04200,Slavic not further defined,147
04210,Belorussian,60
04211,Russian,9.426
04212,Ukrainian,816
04213,Bulgarian,822
04214,Macedonian,738
04215,Serbo-Croatian,5.349
04216,Slovene,264
04217,Czech,1.527
04218,Polish,2.616
04219,Slovak,534
04299,Slavic not elsewhere classified,24
05110,Albanian,318
06110,Armenian,147
07100,Indo-Aryan not further defined,3.360
07110,Hindi,66.309
07111,Urdu,5.046
07112,Fiji Hindi,1.674
07113,Bengali,2.418
07114,Oriya,69
07115,Nepalese,1.881
07116,Panjabi,19.752
07117,Sindhi,210
07118,Kashmiri,102
07119,Sinhala,5.220
07120,Gujarati,17.502
07121,Konkani,717
07122,Marathi,2.904
07123,Romani,18
07199,Indo-Aryan not elsewhere classified,591
08100,Celtic not further defined,18
08110,Welsh,1.035
08111,Scottish Gaelic,543
08112,Irish,1.023
08113,Breton,0
08199,Celtic not elsewhere classified,12
09100,Iranian not further defined,0
09110,Persian,5.061
09111,Kurdish,828
09112,Pashto,1.272
09199,Iranian not elsewhere classified,39
10100,Turko-Altaic not further defined,0
10110,Turkish,1.107
10111,Azeri,69
10199,Turko-Altaic not elsewhere classified,174
11100,Uralic not further defined,6
11110,Estonian,138
11111,Finnish,636
11112,Hungarian,1.716
11199,Uralic not elsewhere classified,9
12100,Dravidian not further defined,48
12110,Kannada,1.044
12111,Malayalam,4.365
12112,Tamil,6.840
12113,Telugu,3.402
12199,Dravidian not elsewhere classified,24
13100,Sinitic not further defined(2),42.753
13110,Yue(3),44.625
13111,Hakka,801
13112,Min,5.166
13113,Northern Chinese(4),52.263
13114,Wu,447
13115,Tieu-Chow,1.026
13199,Sinitic not elsewhere classified,216
13200,Tibeto-Lolo-Burman not further defined,18
13210,Burmese,1.713
13211,Tibetan,93
13299,Tibeto-Lolo-Burman not elsewhere classified,474
14100,Mon-Khmer not further defined,3
14110,Khmer,6.729
14199,Mon-Khmer not elsewhere classified,171
14200,Viet-Muong not further defined,3
14210,Vietnamese,5.376
14299,Viet-Muong not elsewhere classified,3
15100,Tai-Kadai not further defined,0
15110,Lao,1.281
15111,Thai,7.599
15112,Shan,15
15199,Tai-Kadai not elsewhere classified,213
16100,Central Pacific not further defined,21
16110,Māori,148.395
16111,Samoan,86.403
16112,Tongan,31.839
16113,Cook Islands Maori,8.124
16114,Niuean,4.548
16115,Tokelauan,2.469
16116,Tuvaluan,2.349
16117,Tahitian,240
16118,Pukapukan,162
16119,Fijian,6.273
16120,Rotuman,300
16199,Central Pacific not elsewhere classified,231
16210,Solomon Islands Languages (Non-Central-Pacific),363
16300,Micronesian not further defined,3
16310,Kiribati,1.476
16311,Nauruan,99
16399,Micronesian not elsewhere classified,42
16410,Vanuatu Languages,135
17100,Western Malayo-Polynesian not further defined,39
17110,Bisayan,1.500
17111,Cebuano,1.014
17112,Ilokano,543
17113,Bahasa Indonesia,4.881
17114,Malaysian,6.783
17115,Tagalog,29.016
17116,Javanese,108
17199,Western Malayo-Polynesian not elsewhere classified,993
18100,Cushitic not further defined,3
18110,Somali,1.326
18199,Cushitic not elsewhere classified,162
18200,Semitic not further defined,0
18210,Assyrian,1.668
18211,Arabic,10.746
18212,Maltese,120
18213,Amharic,756
18214,Tigrinya,378
18215,Hebrew,1.347
18299,Semitic not elsewhere classified,567
18300,Chadic not further defined,0
18310,Hausa,45
18399,Chadic not elsewhere classified,3
19100,Bantu not further defined,99
19110,Swahili,1.134
19111,Yoruba,165
19112,Zulu,879
19199,"Bantu, not elsewhere classified",2.565
19200,Other Niger-Congo not further defined,39
19210,Fulani,18
19299,Other Niger-Congo not elsewhere classified,318
20100,Pidgins and Creoles not further defined,690
20110,Creole,249
20111,French Creole,18
20112,Pidgin English,378
20113,Neo Melanesian,42
20114,Mauritian Creole,21
20115,Tok Pisin,228
20116,Hindi Bat,12
20117,Solomon Islands Pidgin,153
20118,Bislama,555
20199,Pidgins and Creoles not elsewhere classified,180
21110,Japanese,20.148
21210,Korean,26.373
21310,Basque,21
21999,Language Isolates not elsewhere classified,15
22110,Papuan,183
22210,Nilo-Saharan,78
22310,Miaow-Yao,51
22400,Caucasian not further defined,0
22410,Georgian,81
22499,Caucasian not elsewhere classified,3
22510,Australian,153
22610,Amerind,105
22910,Other Miscellaneous Languages,57
23100,Artificial Languages not further defined,0
23110,Esperanto,108
23199,Artificial Languages not elsewhere classified,3
24100,Sign Language not further defined,582
24110,New Zealand Sign Language,20.235
24111,Signed English,18
24112,American Sign Language,81
24113,Australian Sign Language,24
24114,British Sign Language,63
66666,None (eg too young to talk)(5),67.509
,Total people stated(6),3.973.359
44444,Don't Know,15
55555,Refused To Answer,9
77777,Response Unidentifiable,7.293
88888,Response Outside Scope,2.499
99999,Not Stated,267.837
,Total responses,5.140.203
,,
,Total people,4.242.051
