"date","num","num2","str","str2"
"2014-02-20","382","880.159693","boy","red"
"2014-02-20","495","545.127367","girl","yellow"
"2014-03-01","920","672.390991","girl","red"
"2014-05-30","646","486.678107","girl","yellow"
"2014-06-04","125","59.971397","boy","green"
"2014-06-19","567","964.718322","girl","blue"
"2014-06-28","214","156.852613","boy","purple"
"2014-06-30","463","648.491470","girl","blue"
"2014-07-19","796","576.723416","girl","purple"
"2014-07-30","821","542.912548","girl","yellow"
"2014-08-26","784","505.275349","girl","yellow"
"2014-09-21","853","175.215081","girl","blue"
"2014-09-27","907","332.846302","boy","blue"
"2014-10-04","917","122.913151","girl","yellow"
"2014-10-15","759","79.341767","boy","green"
"2014-11-07","543","121.818079","girl","red"
"2014-11-12","927","35.923108","boy","red"
"2014-12-14","855","69.790466","girl","red"
"2015-03-23","425","740.865341","girl","blue"
"2015-04-03","337","756.270834","boy","purple"
"2015-04-12","461","612.113515","girl","purple"
"2015-04-16","616","701.624033","boy","blue"
"2015-05-05","87","387.232043","boy","green"
"2015-05-12","148","871.791578","boy","purple"
"2015-06-19","617","123.414663","girl","purple"
"2015-07-15","162","552.923331","boy","yellow"
"2015-08-23","790","194.345501","boy","purple"
"2015-09-30","577","891.867284","boy","red"
"2015-10-01","664","450.376959","boy","green"
"2015-10-07","737","153.016305","boy","red"
"2015-11-01","163","742.047880","girl","red"
"2015-11-03","759","890.341007","boy","green"
"2015-12-14","381","901.387187","girl","purple"
"2015-12-19","531","178.271392","girl","green"
"2016-01-06","198","515.870101","boy","green"
"2016-02-07","90","489.130834","boy","red"
"2016-02-12","541","597.468768","boy","yellow"
"2016-03-01","670","682.891864","boy","red"
"2016-03-13","988","999.716608","boy","green"
"2016-04-23","929","0.642999","boy","red"
"2016-04-26","637","248.354309","girl","yellow"
"2016-04-28","654","736.721915","boy","red"
"2016-05-14","824","433.434279","boy","green"
"2016-06-28","0","680.720249","boy","blue"
"2016-07-03","975","199.367828","boy","purple"
"2016-07-08","927","166.684799","girl","purple"
"2016-07-28","176","293.156607","boy","red"
"2016-08-11","218","244.243883","girl","red"
"2016-08-26","483","30.176759","girl","green"
"2016-09-01","557","429.609392","boy","green"
